UTC,ShipName,MMSI,DRAFT AFT,DRAFT FWD,DRAFT PORT,DRAFT STBD,File name,FilePath
2020-03-12 10:10,한나라호,441273000,5.84.E+00,5.66.E+00,5.92.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:11,한나라호,441273000,5.86.E+00,5.68.E+00,5.92.E+00,5.84.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:12,한나라호,441273000,5.85.E+00,5.67.E+00,5.86.E+00,5.94.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:13,한나라호,441273000,5.87.E+00,5.72.E+00,5.91.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:14,한나라호,441273000,5.85.E+00,5.74.E+00,5.78.E+00,5.96.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:15,한나라호,441273000,5.86.E+00,5.69.E+00,5.88.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:16,한나라호,441273000,5.88.E+00,5.75.E+00,5.81.E+00,5.94.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:17,한나라호,441273000,5.85.E+00,5.64.E+00,5.90.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:18,한나라호,441273000,5.86.E+00,5.76.E+00,5.86.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:19,한나라호,441273000,5.86.E+00,5.68.E+00,5.88.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:20,한나라호,441273000,5.85.E+00,5.69.E+00,5.87.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:21,한나라호,441273000,5.87.E+00,5.70.E+00,5.92.E+00,5.85.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:22,한나라호,441273000,5.87.E+00,5.71.E+00,5.86.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:23,한나라호,441273000,5.86.E+00,5.65.E+00,5.91.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:24,한나라호,441273000,5.85.E+00,5.72.E+00,5.81.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:25,한나라호,441273000,5.85.E+00,5.69.E+00,5.86.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:26,한나라호,441273000,5.85.E+00,5.71.E+00,5.85.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:28,한나라호,441273000,5.85.E+00,5.72.E+00,5.90.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:29,한나라호,441273000,5.84.E+00,5.67.E+00,5.88.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:30,한나라호,441273000,5.87.E+00,5.74.E+00,5.90.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:31,한나라호,441273000,5.86.E+00,5.72.E+00,5.95.E+00,5.82.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:32,한나라호,441273000,5.86.E+00,5.58.E+00,5.88.E+00,5.97.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:33,한나라호,441273000,5.87.E+00,5.70.E+00,5.86.E+00,5.97.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:34,한나라호,441273000,5.88.E+00,5.70.E+00,5.95.E+00,5.85.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:35,한나라호,441273000,5.86.E+00,5.69.E+00,5.80.E+00,5.97.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:39,한나라호,441273000,5.84.E+00,5.67.E+00,5.96.E+00,5.82.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:40,한나라호,441273000,5.86.E+00,5.74.E+00,5.86.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:41,한나라호,441273000,5.87.E+00,5.63.E+00,5.98.E+00,5.85.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:42,한나라호,441273000,5.87.E+00,5.76.E+00,5.84.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:43,한나라호,441273000,5.87.E+00,5.66.E+00,5.86.E+00,5.92.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:44,한나라호,441273000,5.85.E+00,5.73.E+00,5.86.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:45,한나라호,441273000,5.85.E+00,5.68.E+00,5.93.E+00,5.85.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:46,한나라호,441273000,5.86.E+00,5.78.E+00,5.81.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:49,한나라호,441273000,5.89.E+00,5.64.E+00,5.99.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:50,한나라호,441273000,5.87.E+00,5.72.E+00,5.92.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:51,한나라호,441273000,5.88.E+00,5.72.E+00,5.93.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:52,한나라호,441273000,5.81.E+00,5.64.E+00,5.96.E+00,5.81.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:54,한나라호,441273000,5.87.E+00,5.67.E+00,5.97.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:55,한나라호,441273000,5.83.E+00,5.60.E+00,5.84.E+00,5.98.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:56,한나라호,441273000,5.86.E+00,5.63.E+00,5.98.E+00,5.85.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:57,한나라호,441273000,5.87.E+00,5.68.E+00,5.84.E+00,5.97.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:58,한나라호,441273000,5.87.E+00,5.70.E+00,5.84.E+00,5.92.E+00,HANNARA_DRAFT.mp4,D:/kmou
